date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals,away_avg_goals,home_wins,away_wins,home_losses,away_losses,home_draws,away_draws
2014-10-12,Lithuania,Slovenia,0.0,2.0,UEFA Euro qualification,Vilnius,Lithuania,False,103,53,1.0,0.6,3,1,2,1,0,0
2014-10-12,Luxembourg,Spain,0.0,4.0,UEFA Euro qualification,Luxembourg,Luxembourg,False,127,8,1.0,2.0,0,2,2,3,2,0
2014-10-12,Russia,Moldova,1.0,1.0,UEFA Euro qualification,Moscow,Russia,False,23,105,2.0,0.6,2,1,1,4,2,0
2014-10-12,Sweden,Liechtenstein,2.0,0.0,UEFA Euro qualification,Solna,Sweden,False,32,172,0.8,1.0,1,0,2,4,2,1
2014-10-12,Ukraine,North Macedonia,1.0,0.0,UEFA Euro qualification,Lviv,Ukraine,False,24,112,0.6,0.2,2,2,1,1,0,0
2014-10-13,Andorra,Israel,1.0,4.0,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False,203,64,0.2,2.2,0,1,3,1,0,0
2014-10-13,Bosnia and Herzegovina,Belgium,1.0,1.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,25,5,0.8,0.4,1,4,1,0,1,0
2014-10-13,Croatia,Azerbaijan,6.0,0.0,UEFA Euro qualification,Osijek,Croatia,False,19,95,1.4,0.4,3,0,0,3,1,0
2014-10-13,Iceland,Netherlands,2.0,0.0,UEFA Euro qualification,Reykjavík,Iceland,False,34,4,1.8,0.8,3,3,1,2,1,0
2014-10-13,Kazakhstan,Czech Republic,2.0,4.0,UEFA Euro qualification,Astana,Kazakhstan,False,127,0,0.4,1.4,0,2,2,1,2,2
2014-10-13,Latvia,Turkey,1.0,1.0,UEFA Euro qualification,Riga,Latvia,False,99,38,0.6,0.6,2,3,1,2,2,0
2014-10-13,Malta,Italy,0.0,1.0,UEFA Euro qualification,Attard,Malta,False,155,13,0.0,1.8,0,4,5,0,0,1
2014-10-13,Norway,Bulgaria,2.0,1.0,UEFA Euro qualification,Oslo,Norway,False,76,46,0.8,1.6,1,2,3,1,1,0
2014-10-13,Wales,Cyprus,2.0,1.0,UEFA Euro qualification,Cardiff,Wales,False,29,85,1.0,0.8,2,1,1,2,1,1
2014-10-14,Armenia,France,0.0,3.0,Friendly,Yerevan,Armenia,False,52,9,0.6,2.6,0,3,4,1,1,1
2014-10-14,Denmark,Portugal,0.0,1.0,UEFA Euro qualification,Copenhagen,Denmark,False,27,11,1.4,1.2,2,1,1,3,2,1
2014-10-14,Faroe Islands,Hungary,0.0,1.0,UEFA Euro qualification,Tórshavn,Faroe Islands,False,179,54,1.0,1.2,1,2,2,1,0,2
