date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals_scored,away_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_conceded,home_wins,away_wins,home_losses,away_losses,home_draws,away_draws
2024-03-22,Hungary,Turkey,1.0,0.0,Friendly,Budapest,Hungary,False,27,35,2.0,2.0,1.4,0.8,2,3,0,0,3,2
2024-03-22,Liechtenstein,Faroe Islands,0.0,4.0,Friendly,San Pedro Alcántara,Spain,True,203,135,0.0,0.0,2.4,1.2,0,0,5,4,0,1
2024-03-22,Netherlands,Scotland,4.0,0.0,Friendly,Amsterdam,Netherlands,False,6,34,2.2,1.4,0.6,2.8,4,0,1,3,0,2
2024-03-22,North Macedonia,Moldova,1.0,1.0,Friendly,Antalya,Turkey,True,68,155,1.6,0.8,1.8,1.6,2,1,2,2,1,2
2024-03-22,Norway,Czech Republic,1.0,2.0,Friendly,Oslo,Norway,False,46,0,2.2,1.2,1.0,1.0,3,2,1,1,1,2
2024-03-22,Romania,Northern Ireland,1.0,1.0,Friendly,Bucharest,Romania,False,45,74,1.8,1.0,0.2,1.2,4,2,0,3,1,0
2024-03-23,Denmark,Switzerland,0.0,0.0,Friendly,Copenhagen,Denmark,False,21,19,1.6,1.6,1.0,1.2,4,1,1,1,0,3
2024-03-23,France,Germany,0.0,2.0,Friendly,Lyon,France,False,2,16,4.6,1.4,1.2,2.0,3,1,1,3,1,1
2024-03-23,Republic of Ireland,Belgium,0.0,0.0,Friendly,Dublin,Republic of Ireland,False,62,4,1.0,3.0,1.4,0.6,1,4,4,0,0,1
2024-03-23,Slovakia,Austria,0.0,2.0,Friendly,Bratislava,Slovakia,False,48,25,2.4,2.0,1.2,0.8,4,4,1,1,0,0
2024-03-25,Azerbaijan,Bulgaria,1.0,1.0,FIFA Series,Baku,Azerbaijan,False,113,83,1.0,1.0,1.4,2.0,2,0,3,3,0,2
2024-03-25,Cyprus,Serbia,0.0,1.0,Friendly,Larnaca,Cyprus,False,125,32,0.6,1.8,2.4,1.4,1,2,3,2,1,1
2024-03-25,Montenegro,North Macedonia,1.0,0.0,Friendly,Antalya,Turkey,True,72,68,1.6,1.4,1.4,2.0,3,1,2,2,0,2
2024-03-25,Sweden,Albania,1.0,0.0,Friendly,Stockholm,Sweden,False,26,64,1.4,1.6,2.0,0.2,2,3,2,0,1,2
2024-03-26,Lithuania,Gibraltar,1.0,0.0,UEFA Nations League,Kaunas,Lithuania,False,138,201,1.0,0.0,1.0,5.8,2,0,2,5,1,0
2024-03-26,Wales,Poland,0.0,0.0,UEFA Euro qualification,Cardiff,Wales,False,29,30,2.4,2.2,0.8,0.6,3,3,0,0,2,2
2024-03-26,Ukraine,Iceland,2.0,1.0,UEFA Euro qualification,Wrocław,Poland,True,24,73,1.6,2.2,0.8,1.6,3,2,1,2,1,1
2024-03-26,Georgia,Greece,0.0,0.0,UEFA Euro qualification,Tbilisi,Georgia,False,77,49,2.0,2.8,1.4,0.6,2,3,2,1,1,1
2024-03-26,Austria,Turkey,6.0,1.0,Friendly,Vienna,Austria,False,25,35,1.8,1.8,0.6,0.8,4,3,1,1,0,1
2024-03-26,Czech Republic,Armenia,2.0,1.0,Friendly,Prague,Czech Republic,False,0,94,1.4,0.4,1.0,1.6,3,0,1,4,1,1
2024-03-26,Denmark,Faroe Islands,2.0,0.0,Friendly,Brondbyvester,Denmark,False,21,135,1.4,0.8,1.0,1.0,3,1,1,3,1,1
2024-03-26,England,Belgium,2.0,2.0,Friendly,London,England,False,3,4,2.0,2.0,0.8,0.6,3,3,0,0,2,2
2024-03-26,Germany,Netherlands,2.0,1.0,Friendly,Frankfurt,Germany,False,16,6,1.2,2.6,1.4,0.4,2,4,3,1,0,0
2024-03-26,Hungary,Kosovo,2.0,0.0,Friendly,Budapest,Hungary,False,27,102,2.0,1.2,1.2,0.4,3,3,0,1,2,1
2024-03-26,Latvia,Liechtenstein,1.0,1.0,Friendly,Larnaca,Cyprus,True,136,203,0.6,0.0,1.8,2.6,1,0,3,5,1,0
2024-03-26,Malta,Belarus,0.0,0.0,Friendly,Ta' Qali,Malta,False,172,95,0.6,1.0,2.6,1.0,0,2,4,1,1,2
2024-03-26,Norway,Slovakia,1.0,1.0,Friendly,Oslo,Norway,False,46,48,2.0,1.8,1.2,1.6,2,3,2,2,1,0
2024-03-26,Republic of Ireland,Switzerland,0.0,1.0,Friendly,Dublin,Republic of Ireland,False,62,19,1.0,1.0,1.0,1.2,1,0,3,1,1,4
2024-03-26,Scotland,Northern Ireland,0.0,1.0,Friendly,Glasgow,Scotland,False,34,74,1.2,1.2,3.0,1.2,0,2,3,2,2,1
2024-03-26,Slovenia,Portugal,2.0,0.0,Friendly,Ljubljana,Slovenia,False,55,7,1.8,3.4,1.0,0.8,3,5,1,0,1,0
2024-03-26,Finland,Estonia,2.0,1.0,Friendly,Helsinki,Finland,False,60,123,1.6,0.4,2.0,2.6,2,0,3,5,0,0
