date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_scored,away_avg_goals_conceded
2021-06-16,Italy,Switzerland,3.0,0.0,UEFA Euro,Rome,Italy,False,7,13,1.8,0.2,0.6,1.0
2021-06-16,Russia,Finland,1.0,0.0,UEFA Euro,Saint Petersburg,Russia,False,38,54,1.2,1.8,0.5,0.5
2021-06-17,Ukraine,North Macedonia,2.0,1.0,UEFA Euro,Bucharest,Romania,True,24,62,0.4,1.4,1.0,2.5
2021-06-17,Netherlands,Austria,2.0,0.0,UEFA Euro,Amsterdam,Netherlands,False,16,23,1.4,1.6,0.3333333333333333,1.3333333333333333
2021-06-17,Denmark,Belgium,1.0,2.0,UEFA Euro,Copenhagen,Denmark,False,10,1,1.2,2.0,2.2,0.8
2021-06-18,Croatia,Czech Republic,1.0,1.0,UEFA Euro,Glasgow,Scotland,True,14,0,0.8,1.0,1.2,0.6
2021-06-18,England,Scotland,0.0,0.0,UEFA Euro,London,England,False,4,44,1.0,0.8,0.0,0.75
2021-06-18,Sweden,Slovakia,1.0,0.0,UEFA Euro,Saint Petersburg,Russia,True,18,36,1.2,1.2,1.0,1.6
2021-06-19,Spain,Poland,1.0,1.0,UEFA Euro,Seville,Spain,False,6,21,1.8,0.2,0.8,0.6
2021-06-19,Hungary,France,1.0,1.0,UEFA Euro,Budapest,Hungary,False,37,2,1.0,2.75,0.8,1.0
2021-06-19,Germany,Portugal,4.0,2.0,UEFA Euro,Munich,Germany,False,12,5,1.6,0.8,1.6,1.0
2021-06-20,Switzerland,Turkey,3.0,1.0,UEFA Euro,Baku,Azerbaijan,True,13,29,1.4,1.0,1.0,2.4
2021-06-20,Italy,Wales,1.0,0.0,UEFA Euro,Rome,Italy,False,7,17,1.8,0.2,1.2,1.0
2021-06-21,Denmark,Russia,4.0,1.0,UEFA Euro,Copenhagen,Denmark,False,10,38,1.6,1.8,1.2,1.6
